lr,reg,hidden_size,epoch_num,train_accuracy,val_accuracy
1.000000e-07,2.500000e-01,50,1000,0.114490,0.102000
1.000000e-07,2.500000e-01,50,2000,0.127082,0.128000
1.000000e-07,2.500000e-01,50,3000,0.121490,0.117000
1.000000e-07,2.500000e-01,100,1000,0.090449,0.094000
1.000000e-07,2.500000e-01,100,2000,0.096571,0.104000
1.000000e-07,2.500000e-01,100,3000,0.090816,0.095000
1.000000e-07,2.500000e-01,150,1000,0.086816,0.074000
1.000000e-07,2.500000e-01,150,2000,0.094714,0.108000
1.000000e-07,2.500000e-01,150,3000,0.083776,0.095000
1.000000e-07,2.500000e+02,50,1000,0.099041,0.092000
1.000000e-07,2.500000e+02,50,2000,0.102531,0.102000
1.000000e-07,2.500000e+02,50,3000,0.106102,0.108000
1.000000e-07,2.500000e+02,100,1000,0.080571,0.081000
1.000000e-07,2.500000e+02,100,2000,0.121878,0.112000
1.000000e-07,2.500000e+02,100,3000,0.102796,0.096000
1.000000e-07,2.500000e+02,150,1000,0.101122,0.098000
1.000000e-07,2.500000e+02,150,2000,0.124388,0.120000
1.000000e-07,2.500000e+02,150,3000,0.138939,0.150000
1.000000e-07,2.500000e+04,50,1000,0.110571,0.107000
1.000000e-07,2.500000e+04,50,2000,0.067531,0.063000
1.000000e-07,2.500000e+04,50,3000,0.100653,0.086000
1.000000e-07,2.500000e+04,100,1000,0.103857,0.109000
1.000000e-07,2.500000e+04,100,2000,0.104184,0.090000
1.000000e-07,2.500000e+04,100,3000,0.100265,0.087000
1.000000e-07,2.500000e+04,150,1000,0.111122,0.104000
1.000000e-07,2.500000e+04,150,2000,0.099490,0.081000
1.000000e-07,2.500000e+04,150,3000,0.114224,0.101000
1.000000e-05,2.500000e-01,50,1000,0.215959,0.211000
1.000000e-05,2.500000e-01,50,2000,0.218653,0.224000
1.000000e-05,2.500000e-01,50,3000,0.193286,0.201000
1.000000e-05,2.500000e-01,100,1000,0.208163,0.213000
1.000000e-05,2.500000e-01,100,2000,0.194469,0.201000
1.000000e-05,2.500000e-01,100,3000,0.178347,0.179000
1.000000e-05,2.500000e-01,150,1000,0.206510,0.217000
1.000000e-05,2.500000e-01,150,2000,0.193469,0.199000
1.000000e-05,2.500000e-01,150,3000,0.187204,0.195000
1.000000e-05,2.500000e+02,50,1000,0.179449,0.169000
1.000000e-05,2.500000e+02,50,2000,0.136265,0.122000
1.000000e-05,2.500000e+02,50,3000,0.100449,0.078000
1.000000e-05,2.500000e+02,100,1000,0.204776,0.189000
1.000000e-05,2.500000e+02,100,2000,0.176408,0.153000
1.000000e-05,2.500000e+02,100,3000,0.100878,0.078000
1.000000e-05,2.500000e+02,150,1000,0.205837,0.200000
1.000000e-05,2.500000e+02,150,2000,0.170102,0.160000
1.000000e-05,2.500000e+02,150,3000,0.107245,0.085000
1.000000e-05,2.500000e+04,50,1000,0.100429,0.079000
1.000000e-05,2.500000e+04,50,2000,0.100449,0.078000
1.000000e-05,2.500000e+04,50,3000,0.100265,0.087000
1.000000e-05,2.500000e+04,100,1000,0.100449,0.078000
1.000000e-05,2.500000e+04,100,2000,0.099959,0.102000
1.000000e-05,2.500000e+04,100,3000,0.100265,0.087000
1.000000e-05,2.500000e+04,150,1000,0.100041,0.098000
1.000000e-05,2.500000e+04,150,2000,0.100449,0.078000
1.000000e-05,2.500000e+04,150,3000,0.100265,0.087000
1.000000e-04,2.500000e-01,50,1000,0.287286,0.282000
1.000000e-04,2.500000e-01,50,2000,0.357918,0.367000
1.000000e-04,2.500000e-01,50,3000,0.385143,0.390000
1.000000e-04,2.500000e-01,100,1000,0.287776,0.285000
1.000000e-04,2.500000e-01,100,2000,0.364143,0.366000
1.000000e-04,2.500000e-01,100,3000,0.390755,0.392000
1.000000e-04,2.500000e-01,150,1000,0.303449,0.297000
1.000000e-04,2.500000e-01,150,2000,0.366714,0.364000
1.000000e-04,2.500000e-01,150,3000,0.397653,0.395000
1.000000e-04,2.500000e+02,50,1000,0.100041,0.098000
1.000000e-04,2.500000e+02,50,2000,0.100449,0.078000
1.000000e-04,2.500000e+02,50,3000,0.100429,0.079000
1.000000e-04,2.500000e+02,100,1000,0.100449,0.078000
1.000000e-04,2.500000e+02,100,2000,0.100429,0.079000
1.000000e-04,2.500000e+02,100,3000,0.100449,0.078000
1.000000e-04,2.500000e+02,150,1000,0.100429,0.079000
1.000000e-04,2.500000e+02,150,2000,0.100429,0.079000
1.000000e-04,2.500000e+02,150,3000,0.100449,0.078000
1.000000e-04,2.500000e+04,50,1000,0.061061,0.063000
1.000000e-04,2.500000e+04,50,2000,0.099735,0.113000
1.000000e-04,2.500000e+04,50,3000,0.100449,0.078000
1.000000e-04,2.500000e+04,100,1000,0.053776,0.055000
1.000000e-04,2.500000e+04,100,2000,0.100449,0.078000
1.000000e-04,2.500000e+04,100,3000,0.100429,0.079000
1.000000e-04,2.500000e+04,150,1000,0.098082,0.117000
1.000000e-04,2.500000e+04,150,2000,0.100041,0.098000
1.000000e-04,2.500000e+04,150,3000,0.100449,0.078000
